Category: All categories

Week,PyTorch: (Worldwide),JAX: (Worldwide),TensorFlow: (Worldwide),MLX: (Worldwide),Tinygrad: (Worldwide)
2022-10-16,41,1,39,2,<1
2022-10-23,40,1,36,1,0
2022-10-30,43,1,38,2,<1
2022-11-06,42,1,39,2,<1
2022-11-13,43,1,43,2,<1
2022-11-20,39,1,36,2,<1
2022-11-27,40,1,39,2,0
2022-12-04,43,1,39,2,<1
2022-12-11,41,1,37,2,0
2022-12-18,36,1,35,1,<1
2022-12-25,27,1,30,2,<1
2023-01-01,35,1,32,2,<1
2023-01-08,38,1,37,2,0
2023-01-15,38,1,37,2,<1
2023-01-22,39,1,35,2,<1
2023-01-29,44,1,39,2,<1
2023-02-05,45,1,41,2,0
2023-02-12,47,1,40,2,<1
2023-02-19,49,1,39,2,<1
2023-02-26,46,1,38,2,0
2023-03-05,46,1,40,2,<1
2023-03-12,49,<1,40,2,<1
2023-03-19,48,<1,42,2,0
2023-03-26,49,<1,42,2,0
2023-04-02,46,<1,41,2,0
2023-04-09,48,<1,41,2,0
2023-04-16,47,<1,40,2,0
2023-04-23,48,<1,41,2,0
2023-04-30,41,<1,38,2,<1
2023-05-07,43,<1,37,2,<1
2023-05-14,42,<1,39,2,<1
2023-05-21,43,<1,37,2,<1
2023-05-28,41,<1,37,2,<1
2023-06-04,41,<1,38,2,<1
2023-06-11,41,<1,36,2,<1
2023-06-18,39,<1,35,2,<1
2023-06-25,40,<1,34,2,<1
2023-07-02,41,<1,33,2,1
2023-07-09,45,<1,37,2,1
2023-07-16,43,<1,34,2,<1
2023-07-23,42,<1,33,2,<1
2023-07-30,39,<1,32,2,<1
2023-08-06,39,<1,33,2,<1
2023-08-13,37,<1,30,2,<1
2023-08-20,37,<1,31,2,<1
2023-08-27,36,<1,31,2,<1
2023-09-03,37,<1,30,1,<1
2023-09-10,39,<1,32,2,<1
2023-09-17,39,<1,30,2,<1
2023-09-24,38,<1,30,2,<1
2023-10-01,36,<1,30,2,<1
2023-10-08,40,<1,32,2,<1
2023-10-15,42,<1,32,1,<1
2023-10-22,41,<1,32,2,<1
2023-10-29,42,<1,33,2,0
2023-11-05,42,<1,34,2,<1
2023-11-12,43,<1,34,2,<1
2023-11-19,40,<1,35,2,<1
2023-11-26,42,<1,36,2,<1
2023-12-03,42,<1,36,3,<1
2023-12-10,40,1,32,3,<1
2023-12-17,40,1,31,2,<1
2023-12-24,31,1,23,2,<1
2023-12-31,32,1,25,2,<1
2024-01-07,38,1,29,2,<1
2024-01-14,40,1,30,2,<1
2024-01-21,41,1,32,2,<1
2024-01-28,44,1,34,2,<1
2024-02-04,41,1,33,2,<1
2024-02-11,43,1,32,2,<1
2024-02-18,45,3,36,2,<1
2024-02-25,46,3,35,2,<1
2024-03-03,47,3,37,2,<1
2024-03-10,47,3,36,2,<1
2024-03-17,47,4,37,2,<1
2024-03-24,48,4,37,2,<1
2024-03-31,45,5,35,2,<1
2024-04-07,51,5,37,2,<1
2024-04-14,49,4,36,2,<1
2024-04-21,50,5,41,3,<1
2024-04-28,43,4,33,2,<1
2024-05-05,41,4,34,2,<1
2024-05-12,45,3,36,2,<1
2024-05-19,43,3,34,2,<1
2024-05-26,44,3,33,2,<1
2024-06-02,41,4,31,2,<1
2024-06-09,42,5,29,2,<1
2024-06-16,42,4,28,2,<1
2024-06-23,39,3,28,2,<1
2024-06-30,38,2,25,2,<1
2024-07-07,41,3,28,2,<1
2024-07-14,40,3,25,2,<1
2024-07-21,41,3,28,2,<1
2024-07-28,38,2,24,2,<1
2024-08-04,36,3,25,2,<1
2024-08-11,35,4,24,2,<1
2024-08-18,36,5,23,2,<1
2024-08-25,37,4,24,2,<1
2024-09-01,36,4,24,2,<1
2024-09-08,38,4,24,2,<1
2024-09-15,35,4,22,2,<1
2024-09-22,36,4,25,2,<1
2024-09-29,33,4,21,2,<1
2024-10-06,35,5,23,2,<1
2024-10-13,37,5,25,2,<1
2024-10-20,39,5,26,2,<1
2024-10-27,38,5,22,2,<1
2024-11-03,38,3,23,2,<1
2024-11-10,40,5,26,3,<1
2024-11-17,42,4,27,3,<1
2024-11-24,38,4,25,2,<1
2024-12-01,39,3,26,2,<1
2024-12-08,37,3,23,3,<1
2024-12-15,35,3,21,2,<1
2024-12-22,28,2,20,2,<1
2024-12-29,27,2,21,2,<1
2025-01-05,36,3,23,3,<1
2025-01-12,36,3,23,2,<1
2025-01-19,34,3,22,3,<1
2025-01-26,35,3,23,4,<1
2025-02-02,38,4,23,3,1
2025-02-09,38,4,23,3,<1
2025-02-16,39,5,22,3,<1
2025-02-23,39,4,22,3,<1
2025-03-02,39,4,22,3,<1
2025-03-09,38,4,21,3,<1
2025-03-16,39,4,23,3,<1
2025-03-23,35,4,23,3,<1
2025-03-30,34,4,20,3,<1
2025-04-06,34,4,19,3,<1
2025-04-13,32,4,19,3,<1
2025-04-20,33,4,19,3,<1
2025-04-27,31,4,18,3,<1
